Header lenght,Source MAC,Destination MAC,IP Protocol,Packet Type,Source IP adress,Destination IP adress,DSCP,ECN,IP ID,IP Fragment Offset,Traffic Class,Flow label,Source Port,Destination Port,IPv6 Extension,IPv6 Extension Lenght,Number of IPv6 Extension,IP header lenght,TCP Header Lenght,TTL,Hop Limit,Payload Size,TCP Window Size,UDP header Lenght,Timestamp,TCP Flag,SYCK Num,ACK Num,TCP Kind,TCP Options Lenght,Number of Options,ARP Hardware Type,ARP Protocol,ARP Hardware Size,ARP Protocol Size,ARP Opcode val,Sender's mac,Sender's IP,Target mac,Target IP,ICMP Type,ICMP code,Checksum,ICMP Echo,Sequence,IGMP Type,IGMP Max response,IGMP Checksum,Group Addr,Hash Identification
86,33:33:00:01:00:03,dc:45:46:ce:5b:ad,0x86DD,10,fe80:0000:0000:0000:86ab:77a2:b09c:a7bd,ff02:0000:0000:0000:0000:0000:0001:0003,0,0,,,0,0,,,0-131-255-,40,3,88,,,1,,,,1751825537,,,,,,,,,,,,,,,,,,,,,,,,,3133768292443826907
86,33:33:00:00:00:fb,dc:45:46:ce:5b:ad,0x86DD,10,fe80:0000:0000:0000:86ab:77a2:b09c:a7bd,ff02:0000:0000:0000:0000:0000:0000:00fb,0,0,,,0,0,,,0-131-255-,40,3,88,,,1,,,,1751825537,,,,,,,,,,,,,,,,,,,,,,,,,6869647980596775093
86,33:33:00:00:00:0c,dc:45:46:ce:5b:ad,0x86DD,12,fe80:0000:0000:0000:86ab:77a2:b09c:a7bd,ff02:0000:0000:0000:0000:0000:0000:000c,0,0,,,0,0,,,0-131-255-,40,3,88,,,1,,,,1751825537,,,,,,,,,,,,,,,,,,,,,,,,,6910645508832949385
86,33:33:00:00:00:fb,7e:1e:34:41:27:d1,0x86DD,12,fe80:0000:0000:0000:7c1e:34ff:fe41:27d1,ff02:0000:0000:0000:0000:0000:0000:00fb,0,0,,,0,0,,,0-131-255-,40,3,88,,,1,,,,1751825537,,,,,,,,,,,,,,,,,,,,,,,,,14750884602957368210
86,33:33:ff:41:27:d1,7e:1e:34:41:27:d1,0x86DD,12,fe80:0000:0000:0000:7c1e:34ff:fe41:27d1,ff02:0000:0000:0000:0000:0001:ff41:27d1,0,0,,,0,0,,,0-131-255-,40,3,88,,,1,,,,1751825537,,,,,,,,,,,,,,,,,,,,,,,,,5222742152197442586
92,ff:ff:ff:ff:ff:ff,90:de:80:2d:49:8b,0x0800,UDP,172.22.127.99,172.22.127.255,0,0,249,0,,,137,137,,,,20,,128,,50,,58,1751825537,,,,,,,,,,,,,,,,,,,,,,,,,4841997919949626712
120,33:33:00:01:00:02,98:bd:80:6e:2c:97,0x86DD,UDP,fe80:0000:0000:0000:b5e1:5fee:cce3:2aac,ff02:0000:0000:0000:0000:0000:0001:0002,0,0,,,0,508995,546,547,,0,0,40,,,1,58,,66,1751825537,,,,,,,,,,,,,,,,,,,,,,,,,16087406119039998059
82,01:00:5e:00:00:fb,c8:94:02:69:ba:17,0x0800,UDP,172.22.123.1,224.0.0.251,0,0,25,0,,,5353,5353,,,,20,,1,,40,,48,1751825538,,,,,,,,,,,,,,,,,,,,,,,,,9018072769248729549
102,33:33:00:00:00:fb,c8:94:02:69:ba:17,0x86DD,UDP,fe80:0000:0000:0000:205b:4537:b75d:7d0f,ff02:0000:0000:0000:0000:0000:0000:00fb,0,0,,,0,806338,5353,5353,,0,0,40,,,1,40,,48,1751825538,,,,,,,,,,,,,,,,,,,,,,,,,15545155473176863809
82,01:00:5e:00:00:fb,c8:94:02:69:ba:17,0x0800,UDP,172.22.123.1,224.0.0.251,0,0,26,0,,,5353,5353,,,,20,,1,,40,,48,1751825538,,,,,,,,,,,,,,,,,,,,,,,,,9018072769248729549
102,33:33:00:00:00:fb,c8:94:02:69:ba:17,0x86DD,UDP,fe80:0000:0000:0000:205b:4537:b75d:7d0f,ff02:0000:0000:0000:0000:0000:0000:00fb,0,0,,,0,806338,5353,5353,,0,0,40,,,1,40,,48,1751825538,,,,,,,,,,,,,,,,,,,,,,,,,15545155473176863809
102,33:33:00:00:00:fb,c8:94:02:69:ba:17,0x86DD,UDP,fe80:0000:0000:0000:205b:4537:b75d:7d0f,ff02:0000:0000:0000:0000:0000:0000:00fb,0,0,,,0,121369,5353,5353,,0,0,40,,,1,40,,48,1751825538,,,,,,,,,,,,,,,,,,,,,,,,,15545155473176863809
102,33:33:00:00:00:fb,c8:94:02:69:ba:17,0x86DD,UDP,fe80:0000:0000:0000:205b:4537:b75d:7d0f,ff02:0000:0000:0000:0000:0000:0000:00fb,0,0,,,0,121369,5353,5353,,0,0,40,,,1,40,,48,1751825538,,,,,,,,,,,,,,,,,,,,,,,,,15545155473176863809
243,ff:ff:ff:ff:ff:ff,ce:b0:30:a9:49:e0,0x0800,UDP,172.22.122.186,172.22.127.255,0,0,39,0,,,138,138,,,,20,,128,,201,,209,1751825538,,,,,,,,,,,,,,,,,,,,,,,,,17332173439786254166
256,01:00:5e:00:00:fb,30:03:c8:3c:a8:85,0x0800,UDP,172.22.125.1,224.0.0.251,0,0,83,0,,,5353,5353,,,,20,,1,,214,,222,1751825538,,,,,,,,,,,,,,,,,,,,,,,,,17823270597801400490
276,33:33:00:00:00:fb,30:03:c8:3c:a8:85,0x86DD,UDP,fe80:0000:0000:0000:8a92:5006:e786:3689,ff02:0000:0000:0000:0000:0000:0000:00fb,0,0,,,0,159085,5353,5353,,0,0,40,,,1,214,,222,1751825538,,,,,,,,,,,,,,,,,,,,,,,,,8425070107305562585
93,01:00:5e:00:00:fb,30:03:c8:3c:a8:85,0x0800,UDP,172.22.125.1,224.0.0.251,0,0,84,0,,,5353,5353,,,,20,,1,,51,,59,1751825538,,,,,,,,,,,,,,,,,,,,,,,,,17823270597801400490
113,33:33:00:00:00:fb,30:03:c8:3c:a8:85,0x86DD,UDP,fe80:0000:0000:0000:8a92:5006:e786:3689,ff02:0000:0000:0000:0000:0000:0000:00fb,0,0,,,0,159085,5353,5353,,0,0,40,,,1,51,,59,1751825538,,,,,,,,,,,,,,,,,,,,,,,,,8425070107305562585
